primaryTitle,startYear,averageRating,numVotes,genres,tmdb_id,budget,revenue,release_date,popularity,vote_average,vote_count
After Last Season,2009,1.6,8559,"Drama,Sci-Fi,Thriller",64104.0,5000000.0,0.0,2009-06-05,0.3717,3.029,35.0
Oha Diyorum,2017,1.6,7055,Comedy,474723.0,0.0,0.0,2017-11-03,0.1081,1.4,10.0
Red Zone Cuba,1966,1.6,6577,"Action,Adventure,Crime",31123.0,0.0,0.0,1966-11-01,0.2301,2.6,30.0
The Starfighters,1964,1.6,3563,Drama,31122.0,0.0,0.0,1964-01-01,0.4232,1.5,23.0
A Story About Love,1995,1.6,3194,"Drama,Romance",31133.0,0.0,0.0,1995-02-17,0.0634,3.3,12.0
Dark Harvest II: The Maize,2004,1.6,2760,Horror,31255.0,0.0,0.0,2004-01-01,0.0327,2.857,14.0
Danes Without a Clue,1997,1.6,2618,Comedy,31256.0,0.0,0.0,1997-01-01,0.2645,2.4,10.0
Krampus: The Christmas Devil,2013,1.6,2079,"Action,Horror,Thriller",248561.0,7525000.0,0.0,2013-08-17,0.7406,3.932,103.0
Amityville: Mt. Misery Rd.,2018,1.6,1911,"Horror,Mystery,Thriller",582070.0,0.0,0.0,2018-05-31,0.7524,1.8,22.0
Universal Soldiers,2007,1.6,1681,"Action,Adventure,Sci-Fi",89609.0,0.0,0.0,2007-08-07,0.7228,3.4,23.0
Smack Dab Kakha,2020,1.6,1437,Comedy,679694.0,0.0,7758221.0,2020-11-12,0.2591,4.65,20.0
Barschel: A Murder in Geneva,1993,1.6,1338,Drama,31285.0,0.0,0.0,1993-03-04,0.1478,2.2,5.0
Adam Misin!,2016,1.6,1214,Comedy,608436.0,500.0,20.0,2016-11-18,0.1979,1.2,5.0
Beyond the Call to Duty,2016,1.6,1057,"Action,Drama,Horror",382542.0,0.0,0.0,2016-08-11,2.5381,4.368,19.0
Justin Bieber: Never Say Never,2011,1.7,76517,"Documentary,Music",54518.0,13000000.0,99036827.0,2011-02-11,1.9818,5.2,415.0
Manos: The Hands of Fate,1966,1.7,38128,Horror,22293.0,19000.0,0.0,1966-11-15,1.805,2.1,218.0
Code Name: K.O.Z.,2015,1.7,27603,"Crime,Mystery",328345.0,0.0,0.0,2015-02-13,0.2792,1.811,37.0
Birdemic: Shock and Terror,2010,1.7,26349,"Horror,Thriller",40016.0,10000.0,0.0,2010-02-27,1.0528,2.2,349.0
Pledge This!,2006,1.7,19092,Comedy,19213.0,8300000.0,1751460.0,2007-02-08,1.7425,2.787,115.0
The Oogieloves in the Big Balloon Adventure,2012,1.7,15648,"Adventure,Family,Fantasy",112937.0,20000000.0,1065907.0,2012-08-29,0.8951,2.394,33.0
Humshakals,2014,1.7,9057,"Comedy,Drama,Romance",273505.0,0.0,0.0,2014-06-20,1.109,3.2,50.0
Too Beautiful,2005,1.7,4720,Comedy,31247.0,2000000.0,903391.0,2005-04-22,0.249,2.2,42.0
Wizard School,2015,1.7,3750,Comedy,,,,,,,
Nukie,1987,1.7,1521,"Adventure,Family,Sci-Fi",84626.0,0.0,0.0,1987-07-01,0.9564,2.1,26.0
Rocket Attack U.S.A.,1960,1.7,1208,Thriller,113158.0,0.0,0.0,1960-03-24,0.5798,2.0,21.0
Loqueesha,2019,1.7,1156,Comedy,601744.0,0.0,0.0,2019-07-12,0.5348,2.5,20.0
Bruder vor Luder,2015,1.7,1081,"Comedy,Romance",365966.0,0.0,0.0,2015-12-24,0.8584,3.744,41.0
Çanakkale Çocuklari,2012,1.7,1065,"Drama,History,War",,,,,,,
Snow White,2025,1.8,362604,"Adventure,Family,Fantasy",447273.0,270000000.0,205176583.0,2025-03-12,116.0238,4.3,1017.0
Radhe,2021,1.8,180757,"Action,Thriller",679844.0,0.0,0.0,2021-05-12,4.9799,4.1,60.0
Going Overboard,1989,1.8,14975,Comedy,19157.0,200000.0,0.0,1989-05-11,0.8449,2.3,145.0
Monster a Go-Go,1965,1.8,10156,"Horror,Sci-Fi",31119.0,75000.0,0.0,1965-07-01,0.245,2.2,48.0
Himmatwala,2013,1.8,9524,"Action,Comedy,Drama",180680.0,9500000.0,6800000.0,2013-03-29,0.1574,3.01,50.0
The Wild World of Batwoman,1966,1.8,4854,"Comedy,Music,Sci-Fi",31258.0,0.0,0.0,1966-01-01,0.4552,2.364,44.0
Amazing China,2018,1.8,3913,Documentary,508685.0,0.0,0.0,2018-03-02,0.2156,3.875,8.0
Die Hard Dracula,1998,1.8,3546,"Comedy,Horror",31260.0,0.0,0.0,1998-01-01,0.2344,2.667,18.0
Five the Hard Way,1969,1.8,2110,"Action,Sport",31124.0,0.0,0.0,1969-05-01,0.5322,1.5,30.0
The Ouija Experiment 2: Theatre of Death,2014,1.8,1962,Horror,309063.0,875.0,0.0,2015-01-13,0.7053,4.7,101.0
The Mummy Resurrected,2014,1.8,1507,Horror,268508.0,0.0,0.0,2014-03-01,0.7876,3.693,70.0
Project Gio,2019,1.8,1243,Comedy,613461.0,0.0,0.0,2019-12-05,0.3061,6.8,19.0
Alien Predator,2018,1.8,1163,"Action,Adventure,Horror",548257.0,0.0,0.0,2018-09-11,1.6115,4.14,43.0
The AI Dharma Story,2024,1.8,1125,Crime,,,,,,,
Lethal Virus,2021,1.8,1101,"Action,Drama,Horror",782760.0,0.0,0.0,2021-01-07,1.6773,5.5,235.0
Raiders of the Lost Shark,2015,1.8,1054,"Action,Adventure,Comedy",340855.0,0.0,0.0,2015-05-19,2.4573,3.308,39.0
The Three Musketeers,2023,1.8,1027,"Action,Adventure",1073140.0,0.0,31104.0,2023-03-23,1.1653,5.195,87.0
Disaster Movie,2008,1.9,96517,"Comedy,Sci-Fi",13805.0,25000000.0,34816824.0,2008-08-29,2.4487,3.2,1060.0
Race 3,2018,1.9,49617,"Action,Thriller",496320.0,0.0,0.0,2018-06-15,2.0186,3.7,74.0
From Justin to Kelly,2003,1.9,27206,"Comedy,Music,Musical",31246.0,12000000.0,4922166.0,2003-06-20,1.0573,3.233,103.0
The Beast of Yucca Flats,1961,1.9,10589,"Horror,Sci-Fi",22727.0,34000.0,0.0,1961-06-02,1.3078,2.3,89.0
Ben & Arthur,2002,1.9,8332,"Drama,Romance,Thriller",31130.0,0.0,0.0,2002-09-09,0.2046,2.417,42.0
Airplane Mode,2019,1.9,5073,Comedy,550115.0,0.0,0.0,2019-08-02,18.7343,2.697,66.0
The Skydivers,1963,1.9,5044,"Drama,Sport",31118.0,0.0,0.0,1963-11-13,0.4081,2.4,17.0
Fat Slags,2004,1.9,4030,Comedy,31120.0,0.0,0.0,2004-10-15,1.7229,3.037,27.0
The Class,2007,1.9,4013,Comedy,28205.0,145625.0,4117.0,2007-03-16,0.7676,7.4,227.0
